avg_x,avg_y,avg_z,std_dev_x,std_dev_y,std_dev_z,max_x,max_y,max_z,min_x,min_y,min_z,avgabsdif_x,avgabsdif_y,avgabsdif_z,avgresacc,label
6.017778359999999,7.44606236,2.1184850799999997,0.05933181568980217,0.04439092427492142,0.03358660265803337,6.155487,7.570465,2.19548,5.901703,7.321472,2.035065,0.05066152000000002,0.036495828800000026,0.026832836800000016,9.805691953257158,0.0
6.048999,7.42422738,2.10909972,0.03746892511844635,0.031620606780052185,0.027482716366648674,6.155487,7.479492,2.159576,5.963959,7.321472,2.035065,0.026296359999999925,0.02479567519999989,0.022058204800000043,9.806144287937574,0.0
6.050100699999999,7.4251850600000004,2.1041681,0.03076697140932083,0.028073390945792198,0.025243084877729416,6.126755,7.491455,2.157181,5.990295,7.3526,2.035065,0.024561447999999864,0.022983419999999928,0.019380304000000025,9.806455025923883,0.0
6.044019780000001,7.429016239999999,2.09626738,0.02786014974117279,0.024150781333446503,0.023712389171123505,6.121979,7.491455,2.157181,5.978317,7.378937,2.051834,0.02142910480000012,0.018976460799999977,0.018729475200000012,9.803894876465396,0.0
6.03358006,7.43897716,2.09037778,0.03144329786300659,0.028817204758524895,0.02206479385495186,6.121979,7.508209,2.157181,5.932831,7.378937,2.047043,0.023080739999999995,0.02254455200000004,0.01746822879999997,9.80377224554126,0.0
5.993547700000001,7.4724473,2.08875,0.04393327981233597,0.0379570871591568,0.021166983991861343,6.081268,7.541733,2.135635,5.906494,7.3909,2.047043,0.037533696000000026,0.03337554000000008,0.017683959999999974,9.804404850288748,0.0
5.946238680000001,7.51118568,2.0893249799999998,0.038861922919750214,0.03497698903083801,0.03279774636030197,6.030991,7.565674,2.217026,5.868195,7.417236,2.001556,0.03259846880000014,0.027918345599999998,0.024882258399999982,9.80532225619947,0.0
5.905825460000001,7.544369860000001,2.08812778,0.02960645966231823,0.025343216955661774,0.03375135734677315,5.966354,7.61116,2.217026,5.837067,7.481888,2.001556,0.025171404800000036,0.01970036880000002,0.026014864800000054,9.8060643012425,0.0
5.88346376,7.5615603799999995,2.0844885000000004,0.028833724558353424,0.02496337704360485,0.02995971031486988,5.966354,7.615952,2.217026,5.827484,7.517792,2.044647,0.02201575040000007,0.020642250400000055,0.021895199999999983,9.805070670283719,0.0
5.89323096,7.5571067,2.0828119400000005,0.03561899811029434,0.027855340391397476,0.025028876960277557,6.019028,7.615952,2.142807,5.827484,7.46991,2.044647,0.028099996800000204,0.021730968000000087,0.02130081760000001,9.807164317822537,0.0
5.91645572,7.5360843399999995,2.0834818,0.03738196939229965,0.03350776061415672,0.024166183546185493,6.019028,7.596802,2.142807,5.832275,7.46991,2.044647,0.03021332639999999,0.027485659999999967,0.020157159999999986,9.805135103280477,0.0
5.952656239999999,7.503811059999999,2.0875037200000004,0.03500112146139145,0.030907349660992622,0.023793725296854973,6.062119,7.570465,2.135635,5.877762,7.429215,2.030289,0.026473620800000024,0.025120584799999932,0.019708313599999958,9.803131048253876,0.0
5.972720359999999,7.489686019999999,2.08956274,0.0288078635931015,0.028311891481280327,0.026049505919218063,6.062119,7.551315,2.169144,5.913681,7.429215,2.030289,0.022230177599999835,0.022694898400000253,0.02049409999999999,9.804940740736834,0.0
5.952081699999999,7.50500922,2.0939197199999997,0.046319380402565,0.040084902197122574,0.029764816164970398,6.062119,7.599197,2.171539,5.84903,7.429215,2.030289,0.03772133600000007,0.03238478880000002,0.023622017600000014,9.80514412105865,0.0
5.93445994,7.5193265799999995,2.0949735,0.03437849506735802,0.029535824432969093,0.02878475934267044,5.995087,7.599197,2.171539,5.84903,7.448364,2.042252,0.027547264799999967,0.021992803199999963,0.02275018000000003,9.805575486065488,0.0
5.9357529399999995,7.517076199999999,2.0980377800000003,0.02963576652109623,0.025120317935943604,0.028607718646526337,5.995087,7.580048,2.161957,5.868195,7.453156,2.039856,0.023086864799999985,0.019229951999999953,0.02236266000000004,9.805262590461242,0.0
5.919424739999999,7.528807159999999,2.0986609599999997,0.032841701060533524,0.02655649557709694,0.03215799480676651,5.995087,7.580048,2.161957,5.856216,7.453156,2.039856,0.02572335039999997,0.020972039999999838,0.026474681600000043,9.80455426842604,0.0
5.904054219999999,7.5448965800000005,2.10148594,0.027476005256175995,0.024924304336309433,0.03167576342821121,5.961563,7.596802,2.161957,5.853821,7.481888,2.039856,0.023329416000000318,0.021164899999999952,0.026001860000000026,9.808228754409516,0.0
5.895051900000001,7.548773879999999,2.1065622000000004,0.024300888180732727,0.03010050393640995,0.032951463013887405,5.951981,7.603989,2.185913,5.832275,7.453156,2.008728,0.02031876800000033,0.02389528000000004,0.026686312000000035,9.8068919545679,0.0
5.89031108,7.550497499999999,2.10924346,0.024126706644892693,0.031200967729091644,0.034179747104644775,5.951981,7.603989,2.185913,5.825089,7.453156,2.008728,0.017449776000000163,0.025268920000000125,0.028015841600000063,9.805954146508668,0.0
5.89174818,7.55112006,2.1101538399999997,0.026056965813040733,0.0239553265273571,0.03140748664736748,5.963959,7.61116,2.185913,5.817917,7.508209,2.039856,0.01843680160000012,0.01924986000000002,0.02608459360000004,9.807481642703376,0.0
2.68739572,-0.47797864000000007,9.48568298,0.5693179965019226,0.6764645576477051,1.3038123846054077,3.746926,0.890643,11.78905,1.244985,-1.88903,5.98311,0.4524638624000001,0.55143296,1.0719966624,9.904299768140216,1.0
2.50672928,-0.6973832599999998,9.2573243,0.6660753488540649,0.6712134480476379,1.4024114608764648,4.151546,0.4956,13.43147,1.031901,-2.11887,5.98311,0.51686028,0.5433040616,1.1297220079999999,9.654099989853224,1.0
2.19260998,-0.49876,8.626212979999998,0.8833126425743103,0.8222949504852295,2.0222084522247314,4.151546,2.422932,13.43147,0.023942,-2.15957,1.953669,0.6864846607999999,0.603596,1.53841814,8.984789983124703,1.0
2.2893357400000003,-0.35692748,8.829864,0.8485091328620911,0.7821320295333862,1.9687851667404175,3.591303,2.422932,12.36845,0.023942,-2.15957,1.953669,0.6650709208,0.5912954175999999,1.5380755199999996,9.191751314425368,1.0
2.51798206,-0.33241075999999997,9.24544958,0.7663646936416626,0.737481415271759,1.7904521226882935,3.62961,2.422932,12.36845,0.023942,-1.87227,1.953669,0.5351902928000001,0.5613621007999999,1.2334355207999996,9.636664777924432,1.0
2.66886468,-0.53237436,9.65734808,0.6341745257377625,0.9098374247550964,1.2451626062393188,4.896143,1.735796,12.36845,0.806846,-3.21062,5.89213,0.47134358719999997,0.7145943887999999,0.9439593936,10.088294878351142,1.0
2.5607425200000007,-0.8498930800000001,9.30798596,0.6728506684303284,0.9883939027786255,1.3443539142608643,4.896143,1.735796,12.36845,0.806846,-3.21062,5.89213,0.5132747408000001,0.79204972,1.0660750848,9.762313244919804,1.0
2.57520346,-0.7893678000000002,9.183152399999999,0.6059128642082214,0.9037117958068848,1.3290164470672607,4.896143,1.735796,12.55041,0.806846,-2.94008,6.10282,0.43607036160000007,0.7015778880000001,1.076209352,9.631817177173593,1.0
2.51467806,-0.69719108,9.35103368,0.8151196837425232,0.9052727222442627,2.1700308322906494,4.627992,1.944092,18.3731,-0.20111,-2.60968,5.631162,0.5748037328,0.71098212,1.5461086288,9.775844126101013,1.0
2.59105312,-0.5440103000000001,9.03394576,1.0716297626495361,1.2081807851791382,2.6045539379119873,4.642357,3.663129,18.3731,-0.577,-2.79164,3.141193,0.7598409312,0.9128876879999999,1.9009025007999998,9.57968962078814,1.0
2.57596966,-0.8120649600000003,9.296158600000002,0.9984685778617859,1.2094159126281738,2.4258065223693848,4.642357,3.663129,18.3731,-0.577,-2.79164,3.141193,0.6987543143999999,0.9141462496000001,1.6724667359999998,9.835596469905022,1.0
2.65617532,-0.6165063199999999,9.52528362,0.5732616782188416,0.8002087473869324,1.1217710971832275,3.964798,0.893037,12.16254,1.335965,-1.93212,7.620744,0.43133169279999994,0.6820597216000001,0.9230126999999999,9.951083125349891,1.0
2.6379315,-0.7089227399999999,9.38804794,0.5456773638725281,0.944193959236145,1.251289963722229,3.907337,0.893037,12.14818,1.335965,-3.82115,6.931214,0.42210734,0.7227995503999999,1.0539429376,9.830814259510538,1.0
2.6662309200000003,-0.64672186,9.286917039999999,0.7753474116325378,1.1064982414245605,1.7827777862548828,4.000711,1.197101,12.93587,-0.99599,-3.82115,3.476381,0.5420722064,0.87445854,1.3793477199999997,9.767500867201566,1.0
2.7454311000000002,-0.7025543399999999,9.317515,1.0663155317306519,1.4471901655197144,2.1263747215270996,5.731719,2.116474,13.61343,-0.99599,-6.50505,3.476381,0.7322331080000001,1.0341458336,1.66759048,9.86502922602308,1.0
3.1438261599999997,-0.14164104000000002,9.28188904,2.0888123512268066,1.530680775642395,2.5466272830963135,11.66455,2.329558,16.23029,-3.68707,-6.50505,2.181118,1.2920644064000002,1.0910358848,1.8348339632,10.04430872703656,1.0
3.45095442,0.0009575000000000466,9.26690124,2.002896547317505,1.5049556493759155,2.415178060531616,11.66455,2.329558,16.23029,-3.68707,-6.50505,2.181118,1.10808442,1.0484690999999997,1.6337189791999998,10.11342607634201,1.0
3.4665167799999996,0.28548462,9.125451980000001,0.6224015355110168,0.8031250834465027,1.058833360671997,5.166688,2.329558,12.7587,1.434127,-1.09654,7.005434,0.4592920912,0.6713303592,0.8391619376,9.811711100630928,1.0
3.3201353600000005,-0.25550942,8.93769904,0.6091095805168152,0.8472948670387268,1.038735032081604,4.781221,1.654393,11.07558,1.163582,-2.82516,6.220136,0.43943176000000006,0.65898018,0.8278788431999999,9.589949723041563,1.0
3.40153824,-0.51408282,9.3050177,0.768841028213501,0.9654389023780823,1.4951905012130737,5.499481,1.654393,12.91672,1.163582,-2.82516,5.951985,0.5673319008000001,0.7825478672,1.165065128,9.991634862037483,1.0
3.3627042800000004,-1.0349650799999999,9.7269235,0.9802526235580444,1.1473402976989746,1.8682281970977783,5.633556,1.654393,14.77462,1.163582,-4.86741,5.83467,0.7597280800000001,0.8572359103999999,1.43328408,10.458036677924008,1.0
-1.45730754,-8.51917472,3.0932841200000003,3.5625410079956055,6.136833667755127,3.4508230686187744,8.310874,1.345604,9.587076,-7.61467,-25.0436,-2.41933,2.8530963616000005,4.8086544352,2.8760532592,10.880731672670244,2.0
0.5921941599999999,-10.94113284,1.2753971999999998,2.847295045852661,7.623304843902588,2.174999475479126,8.310874,1.345604,8.367043,-4.50617,-25.0436,-2.41933,2.2686728464,6.3854431008,1.758116352,11.926238254041571,2.0
0.8676115799999998,-10.773462760000003,1.6838879400000002,3.109652519226074,8.98295783996582,2.156087875366211,8.310874,1.57448,5.89346,-4.50617,-27.1552,-2.41933,2.5765010536,8.236757240000001,1.8422169328000004,12.103987316831724,2.0
1.08870186,-11.04268382,1.6444328400000001,2.973050594329834,9.275111198425293,2.4473884105682373,7.511245,2.615433,8.563837,-3.55189,-28.4815,-3.13517,2.5440735288,8.392285474400001,2.0035173872,12.441949066534132,2.0
0.8670561400000001,-10.745019919999999,1.5664522000000003,2.8565680980682373,9.335919380187988,2.5653116703033447,7.511245,2.615433,8.563837,-3.35557,-28.4815,-3.13517,2.4256652712,8.32129608,2.0526907199999997,12.174413227207515,2.0
0.24451325999999995,-10.498472340000001,1.75371854,3.644019365310669,9.380843162536621,2.806171178817749,7.596954,2.615433,8.803247,-11.2748,-27.3434,-2.3681,2.9398803504000006,8.33467166,2.2695483000000003,12.337691383870874,2.0
0.03497239999999998,-10.419487500000002,1.3486560399999998,3.7025110721588135,8.785624504089355,2.991520643234253,8.441113,1.698494,9.547334,-11.2748,-27.3434,-2.53856,2.8667149920000004,7.820536,2.3484763648,12.00795062454523,2.0
1.36827538,-10.95282942,1.33130378,3.9264743328094482,8.229085922241211,2.9287023544311523,13.9868,1.420779,9.547334,-5.30868,-27.1959,-5.62024,3.080611136,7.4005105800000015,2.3046202823999997,12.414475352113616,2.0
1.15202458,-11.191343199999999,1.3524012999999997,3.8232359886169434,8.036079406738281,2.877859115600586,13.9868,0.15047,9.547334,-5.30868,-27.1959,-5.62024,2.886955199199999,7.221376800000001,2.2139624679999996,12.498561326292155,2.0
1.1424465199999998,-11.002380599999999,1.4257302,3.574087619781494,7.681196689605713,2.5676708221435547,13.9868,-0.29244,7.084764,-4.10971,-27.1959,-5.62024,2.6158545855999993,6.828386624,1.9618143039999998,12.136702376604001,2.0
1.04108792,-10.621154620000002,1.4290975399999999,2.7466132640838623,7.003617286682129,2.1544158458709717,7.637096,0.011629,7.404821,-3.75778,-27.1341,-2.55721,2.1985680303999997,6.2503475648,1.6625054632,11.46659280234261,2.0
1.20819278,-10.38291214,1.4329536999999999,3.133458137512207,6.7423095703125,2.4491686820983887,9.061055,0.651054,10.21196,-6.05683,-22.0708,-2.69651,2.4406494823999996,6.176652345600001,1.8219840239999998,11.458511840756973,2.0
1.20771924,-10.664677140000002,1.41297234,3.447373867034912,7.492368698120117,2.7532782554626465,9.061055,2.567624,10.21196,-6.05683,-23.6303,-2.69651,2.7433336896000005,6.7675090311999995,2.0066911952,12.06579548139939,2.0
1.07011512,-10.745074020000002,1.4385436999999999,3.796444892883301,7.975920677185059,2.90486478805542,9.061055,2.567624,10.21196,-6.05683,-26.0708,-3.32444,3.1375775199999993,7.203267901599999,2.1105184159999997,12.266899932690546,2.0
0.98451746,-10.659386300000001,1.2058451,3.980818510055542,7.316000938415527,2.6352055072784424,10.93868,0.800395,7.720816,-5.17019,-26.0708,-3.7591,3.3713075768,6.395785151999998,1.973542556,12.029046002868467,2.0
1.0607592000000001,-11.220135999999998,1.33199134,3.9902262687683105,7.026543617248535,2.7795679569244385,10.93868,-0.41925,7.19922,-5.17019,-26.0708,-4.33649,3.366008176,6.1982545600000005,2.1991302472000003,12.48642835811334,2.0
1.3864955400000003,-11.323501140000003,1.2349336199999998,3.8275208473205566,7.749684810638428,3.0340969562530518,10.93868,2.850803,9.830841,-6.74603,-29.3302,-4.33649,3.0141489584,6.703794814399999,2.225150384,12.735360703882213,2.0
1.1268455,-10.80314666,1.2495603199999996,3.496548891067505,7.766084671020508,3.094815254211426,9.355773,2.850803,9.830841,-6.74603,-29.3302,-4.33649,2.8065641599999998,6.667027473600001,2.3366810784,12.233092499572196,2.0
1.3870172799999998,-11.177812420000002,1.25518908,3.750962495803833,7.740729808807373,3.087493658065796,12.68168,0.661935,9.830841,-6.74603,-29.3302,-4.65181,2.9777784176,6.498799083199999,2.4100849263999997,12.638628674894958,2.0
1.24678596,-10.96437482,1.4346893799999998,3.9744815826416016,7.6862945556640625,2.938215732574463,12.68168,0.661935,10.7531,-6.69143,-29.0783,-4.65181,3.3610160768000004,6.692235194399999,2.1753871456,12.45211318269581,2.0
1.4172825,-10.858352899999998,1.12834958,3.8675248622894287,7.32570219039917,2.7541005611419678,9.373287,1.67001,10.7531,-6.33814,-23.7148,-3.33748,3.3851942399999997,6.4926550999999995,1.9913662496,12.284840428262937,2.0
